package,type,count
automoc_1.0~version-0.9.88-5+b2_amd64.log,num_stack_protector_all,0
automoc_1.0~version-0.9.88-5+b2_amd64.log,num_no_stack_protector,0
avant-window-navigator_0.4.1~bzr830-1+b1_amd64.log,num_gcc,1
avant-window-navigator_0.4.1~bzr830-1+b1_amd64.log,num_stack_protector,0
avant-window-navigator_0.4.1~bzr830-1+b1_amd64.log,num_stack_protector_strong,0
avant-window-navigator_0.4.1~bzr830-1+b1_amd64.log,num_stack_protector_all,0
avant-window-navigator_0.4.1~bzr830-1+b1_amd64.log,num_no_stack_protector,1
avrdude_6.3-20171130+svn1429-2_amd64.log,num_gcc,48
avrdude_6.3-20171130+svn1429-2_amd64.log,num_stack_protector,0
avrdude_6.3-20171130+svn1429-2_amd64.log,num_stack_protector_strong,48
avrdude_6.3-20171130+svn1429-2_amd64.log,num_stack_protector_all,0
avrdude_6.3-20171130+svn1429-2_amd64.log,num_no_stack_protector,0
axel_2.16.1-4_amd64.log,num_gcc,10
axel_2.16.1-4_amd64.log,num_stack_protector,0
axel_2.16.1-4_amd64.log,num_stack_protector_strong,10
axel_2.16.1-4_amd64.log,num_stack_protector_all,0
axel_2.16.1-4_amd64.log,num_no_stack_protector,0
azureus_3.1.1.0-3_amd64.log,num_gcc,0
azureus_3.1.1.0-3_amd64.log,num_stack_protector,0
azureus_3.1.1.0-3_amd64.log,num_stack_protector_strong,0
azureus_3.1.1.0-3_amd64.log,num_stack_protector_all,0
azureus_3.1.1.0-3_amd64.log,num_no_stack_protector,0
b43-fwcutter_1:019-4_amd64.log,num_gcc,0
b43-fwcutter_1:019-4_amd64.log,num_stack_protector,0
b43-fwcutter_1:019-4_amd64.log,num_stack_protector_strong,0
b43-fwcutter_1:019-4_amd64.log,num_stack_protector_all,0
b43-fwcutter_1:019-4_amd64.log,num_no_stack_protector,0
banshee_2.6.2-6.2_amd64.log,num_gcc,0
banshee_2.6.2-6.2_amd64.log,num_stack_protector,0
banshee_2.6.2-6.2_amd64.log,num_stack_protector_strong,0
banshee_2.6.2-6.2_amd64.log,num_stack_protector_all,0
banshee_2.6.2-6.2_amd64.log,num_no_stack_protector,0
baobab_3.32.0-1_amd64.log,num_gcc,0
baobab_3.32.0-1_amd64.log,num_stack_protector,0
baobab_3.32.0-1_amd64.log,num_stack_protector_strong,0
baobab_3.32.0-1_amd64.log,num_stack_protector_all,0
baobab_3.32.0-1_amd64.log,num_no_stack_protector,0
base-files_10.2_amd64.log,num_gcc,0
base-files_10.2_amd64.log,num_stack_protector,0
base-files_10.2_amd64.log,num_stack_protector_strong,0
base-files_10.2_amd64.log,num_stack_protector_all,0
base-files_10.2_amd64.log,num_no_stack_protector,0
base-passwd_3.5.46_amd64.log,num_gcc,2
base-passwd_3.5.46_amd64.log,num_stack_protector,0
base-passwd_3.5.46_amd64.log,num_stack_protector_strong,2
base-passwd_3.5.46_amd64.log,num_stack_protector_all,0
base-passwd_3.5.46_amd64.log,num_no_stack_protector,0
bash_5.0-4_amd64.log,num_gcc,447
bash_5.0-4_amd64.log,num_stack_protector,0
bash_5.0-4_amd64.log,num_stack_protector_strong,420
bash_5.0-4_amd64.log,num_stack_protector_all,0
bash_5.0-4_amd64.log,num_no_stack_protector,27
bc_1.07.1-2+b1_amd64.log,num_gcc,24
bc_1.07.1-2+b1_amd64.log,num_stack_protector,0
bc_1.07.1-2+b1_amd64.log,num_stack_protector_strong,24
bc_1.07.1-2+b1_amd64.log,num_stack_protector_all,0
bc_1.07.1-2+b1_amd64.log,num_no_stack_protector,0
bchunk_1.2.2-2_amd64.log,num_gcc,2
bchunk_1.2.2-2_amd64.log,num_stack_protector,0
bchunk_1.2.2-2_amd64.log,num_stack_protector_strong,1
bchunk_1.2.2-2_amd64.log,num_stack_protector_all,0
bchunk_1.2.2-2_amd64.log,num_no_stack_protector,1
beagle_0.3.9-3_amd64.log,num_gcc,0
beagle_0.3.9-3_amd64.log,num_stack_protector,0
beagle_0.3.9-3_amd64.log,num_stack_protector_strong,0
beagle_0.3.9-3_amd64.log,num_stack_protector_all,0
beagle_0.3.9-3_amd64.log,num_no_stack_protector,0
beast_0.7.1-5.1+b1_amd64.log,num_gcc,47
beast_0.7.1-5.1+b1_amd64.log,num_stack_protector,0
beast_0.7.1-5.1+b1_amd64.log,num_stack_protector_strong,0
beast_0.7.1-5.1+b1_amd64.log,num_stack_protector_all,0
beast_0.7.1-5.1+b1_amd64.log,num_no_stack_protector,47
belocs-locales-bin_2.4-4_amd64.log,num_gcc,2
belocs-locales-bin_2.4-4_amd64.log,num_stack_protector,0
belocs-locales-bin_2.4-4_amd64.log,num_stack_protector_strong,0
belocs-locales-bin_2.4-4_amd64.log,num_stack_protector_all,0
belocs-locales-bin_2.4-4_amd64.log,num_no_stack_protector,2
billard-gl_1.75-17_amd64.log,num_gcc,0
billard-gl_1.75-17_amd64.log,num_stack_protector,0
billard-gl_1.75-17_amd64.log,num_stack_protector_strong,0
billard-gl_1.75-17_amd64.log,num_stack_protector_all,0
billard-gl_1.75-17_amd64.log,num_no_stack_protector,0
bind9_1:9.11.5.P4+dfsg-5_amd64.log,num_gcc,3
bind9_1:9.11.5.P4+dfsg-5_amd64.log,num_stack_protector,0
bind9_1:9.11.5.P4+dfsg-5_amd64.log,num_stack_protector_strong,3
bind9_1:9.11.5.P4+dfsg-5_amd64.log,num_stack_protector_all,0
bind9_1:9.11.5.P4+dfsg-5_amd64.log,num_no_stack_protector,0
binfmt-support_2.2.0-2_amd64.log,num_gcc,45
binfmt-support_2.2.0-2_amd64.log,num_stack_protector,0
binfmt-support_2.2.0-2_amd64.log,num_stack_protector_strong,45
binfmt-support_2.2.0-2_amd64.log,num_stack_protector_all,0
